109,,,,,,,,
Ara,Caldwell 86-NGC 6397,17,40,42,-,53,40,0
Hor,Caldwell 87-NGC 1261,3,12,18,-,55,13,0
Cir,Caldwell 88-NGC 5823,15,5,42,-,55,36,0
Nor,Caldwell 89-NGC 6087,16,18,54,-,57,54,0
Car,Caldwell 90-NGC 2867,9,21,24,-,58,19,0
Car,Caldwell 91-NGC 3532,11,6,24,-,58,40,0
Car,Caldwell 92-NGC 3372,10,43,48,-,59,52,0
Pav,Caldwell 93-NGC 6752,19,10,54,-,59,59,0
Cru,Caldwell 94-NGC 4755,12,53,36,-,60,20,0
TrA,Caldwell 95-NGC 6025,16,3,42,-,60,30,0
Car,Caldwell 96-NGC 2516,7,58,18,-,60,52,0
Cen,Caldwell 97-NGC 3766,11,36,6,-,61,37,0
Cru,Caldwell 98-NGC 4609,12,42,18,-,62,58,0
Cru,Caldwell 99,12,53,0,-,63,0,0
Cen,Caldwell 100-IC 2944,11,36,36,-,63,2,0
Pav,Caldwell 101-NGC 6744,19,9,48,-,63,51,0
Car,Caldwell 102-IC 2602,10,43,12,-,64,24,0
Dor,Caldwell 103-NGC 2070,5,38,42,-,69,6,0
Tuc,Caldwell 104-NGC 362,1,3,12,-,70,51,0
Mus,Caldwell 105-NGC 4833,12,59,36,-,70,53,0
Tuc,Caldwell 106-NGC 104,0,24,6,-,72,5,0
Aps,Caldwell 107-NGC 6101,16,25,48,-,72,12,0
Mus,Caldwell 108-NGC 4372,12,25,48,-,72,40,0
Cha,Caldwell 109-NGC 3195,10,9,30,-,80,52,0
