5386,,,,,,,,
Cet,IC     122,1,28,12,-,14,50,0
Cet,IC     123,1,28,48,+,2,27,0
Cet,IC     124,1,29,12,-,1,56,0
Cet,IC     125,1,29,18,-,13,18,0
Cet,IC     126,1,29,48,-,1,59,0
Cet,IC     127,1,29,48,-,6,59,0
Cet,IC     128,1,31,18,-,12,38,0
Cet,IC     129,1,31,36,-,12,41,0
Cet,IC     130,1,31,30,-,15,35,0
Tri,IC     131,1,33,12,+,30,45,0
Tri,IC     132,1,33,18,+,30,57,0
Tri,IC     133,1,33,18,+,30,53,0
Tri,IC     134,1,33,24,+,30,53,0
Tri,IC     135,1,33,12,+,30,28,0
Tri,IC     136,1,33,12,+,30,30,0
Tri,IC     137,1,33,36,+,30,31,0
Cet,IC     138,1,33,0,-,0,42,0
Tri,IC     139,1,33,42,+,30,28,0
Tri,IC     140,1,33,42,+,30,29,0
Cet,IC     141,1,32,48,-,14,49,0
Tri,IC     142,1,33,54,+,30,45,0
Tri,IC     143,1,34,6,+,30,47,0
Cet,IC     144,1,37,42,-,13,19,0
Cet,IC     145,1,38,42,+,0,44,0
Cet,IC     146,1,38,42,-,17,50,0
Cet,IC     147,1,40,0,-,14,52,0
Psc,IC     148,1,42,24,+,13,39,0
Cet,IC     149,1,42,24,-,16,18,0
Psc,IC     150,1,43,0,+,4,12,0
Psc,IC     151,1,44,0,+,13,12,0
Psc,IC     152,1,44,6,+,13,2,0
Psc,IC     153,1,44,36,+,12,38,0
Psc,IC     154,1,45,18,+,10,39,0
Cas,IC     155,1,47,30,+,59,47,0
Psc,IC     156,1,45,30,+,10,33,0
Psc,IC     157,1,45,42,+,12,52,0
Cet,IC     158,1,45,54,-,6,56,0
Cet,IC     159,1,46,30,-,8,39,0
Cet,IC     160,1,46,24,-,13,15,0
Psc,IC     161,1,48,42,+,10,22,0
Psc,IC     162,1,48,54,+,10,31,0
Ari,IC     163,1,49,18,+,20,42,0
Cet,IC     164,1,49,6,-,3,55,0
Tri,IC     165,1,50,12,+,27,38,0
Cas,IC     166,1,52,30,+,61,50,0
